Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
Impasse de la Maladière,Maladière (impasse de la),IMPASSE,9e,,Supprimée,,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Le nom rappelait l'ancienne maladière, ou léproserie, de Balmont.",Rue de Bourgogne,,Médecine/Santé,,,,,
Impasse de la Musique-des-Anges,Musique-des-Anges (impasse de la),IMPASSE,1er,,Supprimée,Attestée en 1821.,,Figure sur le plan géométral de 1821. Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Impasse de la Préfecture,Préfecture (impasse de la),IMPASSE,2e,,Supprimée,,"Devait aboutir rue de la Préfecture, actuelle rue de l'ancienne Préfecture.",,La Préfecture fut installée dans l'ancien couvent des Jacobins de 1826 à 1858. Les bâtiments furent démolis en 1862-1863.,,,Administration,,,,,
Impasse de la Rize,Rize (impasse de la),IMPASSE,3e,,Supprimée,Attestée en 1948 et supprimée en 1987.,Chemin vicinal ordinaire n° 215.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan 4S/188.","Le ruisseau de la Rize, qui traverse toute la Guillotière, est aujourd'hui canalisé et couvert.",Rue Étienne-Richerand,,Géographie/Cours d'eau,,69383.0,27689.0,27665.0,6903836065C
Impasse de la Sarra,Sarra (impasse de la),IMPASSE,5e,,Supprimée,Attestée en 1897.,A été supprimée avant 1995.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1897.","Cette zone orientée au couchant tiendrait son nom de Sarra, déesse du soir, parfois associée au culte de Cybèle.",Place du 158e-R.I.,,Mythologie,,69385.0,28158.0,,6903856673E
Impasse de la Villette,Villette (impasse de la),IMPASSE,3e,,Supprimée,Attestée en 1955.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.",Du nom d'un lieu-dit.,96 rue de la Villette,,Histoire locale,,,,,
Impasse de l'Ancienne-Douane,Ancienne-Douane (impasse),IMPASSE,5e,,Supprimée,Attestée de 1870 à 1902.,A été supprimée en 1902 lors de la création du conservatoire.,"40II fonds Louis Carriot
4S/150",Siège de la Douane de Lyon aux XVIIe et XVIIIe siècles.,Place de l'Ancienne-Douane.,,Douane,,,,,
Impasse de l'Arsenal,Arsenal (impasse de l'),IMPASSE,2e,,Supprimée,Attestée en 1810.,A changé de dénomination : est devenue la rue des Colonies.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Doit son nom à l'Arsenal élevé sous François 1er et détruit par un incendie pendant le siège, en 1793.",,,Histoire militaire,,,,,
Impasse de l'Église,Église (impasse de l'),IMPASSE,3e,,Supprimée,Attestée en 1850.,Disparue lors la création des voies de chemin de fer.,"Fiches préparatoires de Vanario.
3S/66",L'église Notre-Dame-du-Bon-Secours.,,,Religion,,,,,
Impasse de l'Enfant-qui-pisse,Enfant-qui-pisse (impasse de l'),IMPASSE,1er,,Supprimée,Attestée en 1821.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan géométral de la Ville, Coillet, 1821.",Probablement le nom d'une enseigne.,,,Histoire locale/Commerce,,,,,
Impasse de l'Est,Est (impasse de l'),IMPASSE,3e,,Supprimée,Attestée en 1955.,A été dénommée impasse des Sables.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.",Rappelle la ligne de chemin de fer de l'est de Lyon.,Rue de l'Est,,Transport ferrioviaire,,,,,
Impasse de Nazareth,Nazareth (impasse de),IMPASSE,3e,,Supprimée,Attestée en 1903.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Les religieuses de la congrégation de Nazareth ont eu la seconde maison de leur ordre dans le quartier au milieu du 19e siècle, ainsi qu’un pensionnat autour de 1900. ",Chemin de Nazareth,,Religion,,,,,
Impasse de Saint-Cyr,Saint-Cyr (impasse de),IMPASSE,9e,5e,Supprimée,Attestée de 1904 à 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
4S/35",Attenante à la voie qui menait à Saint-Cyr-au-Mont-d'Or.,,,Géographie,,,,,
Impasse de Saint-Cyr,Saint-Cyr (impasse de),IMPASSE,9e,5e,Supprimée,Attestée de 1904 à 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
4S/35",Attenante à la voie qui menait à Saint-Cyr-au-Mont-d'Or.,,,Géographie,,,,,
Impasse de Saint-Cyr,Saint-Cyr (impasse de),IMPASSE,9e,5e,Supprimée,Attestée en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.",Attenante à la voie qui menait à Saint-Cyr-au-Mont-d'Or.,,,Géographie,,,,,
Impasse de Saint-Just-à-Saint-Simon.,Saint-Just-à-Saint-Simon (impasse de),IMPASSE,9e,5e,Supprimée,Attestée en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Liste des voies privées de 1955.",Voie qui reliait les deux points.,Chemin de Saint-Just-à-Saint-Simon,,Géographie,,,,,
Impasse de Savoie,Savoie (impasse de),IMPASSE,2e,,Supprimée,Attestée en 1811.,A été supprimée entre 1911 et 1930 par la Compagnie du gaz.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002), 315W et 4S/167.","La maison de Savoie était propriétaire du terrain sur lequel s'établirent les Templiers, puis les Célestins.",,,Histoire locale/Monarchie,,,,,
Impasse Décheneaux,Décheneaux (impasse),IMPASSE,7e,3e,Supprimée,Attestée en 1902 à 1948.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Chemin des Cures,,,,,,,
Impasse Denfert-Rochereau,Denfert-Rochereau (impasse),IMPASSE,4e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Aristide Denfert-Rochereau, dit le lion de Belfort. Né à Saint-Maixent-l'École le 11 janvier 1823, mort à Versailles le 11 mai 1878. Officier, Gouverneur de Belfort en 1870, il défendit la place contre tous les assauts allemands. Député de Paris en 1876.",Rue Denfert-Rochereau,,Histoire militaire/Guerre franco-allemande de 1870-1871/Personnalité,,,,,
Impasse des Balançoires,Balançoires (impasse des),IMPASSE,7e,3e,Supprimée,Attestée de 1901 à 1978.,A été supprimée vers 1978.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Il est notable que c'est un souvenir des fêtes foraines. (Maynard),Rue Pré-Gaudry,,Loisirs,,69387.0,28503.0,,6903870590J
Impasse des Ballonnières,Ballonnières (impasse des),IMPASSE,7e,3e,Supprimée,Attestée de 1901 à 1927.,Supprimée vers 1927.,Fiches préparatoires de Vanario.,Inconnue.,,,,,,,,
Impasse des Boers,Boers (impasse des),IMPASSE,8e,,Supprimée,Attestée en 1885 et supprimée en 1987.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.,"Colons de l'Afrique australe, d'origine hollandaise, habitant le Transvaal et l'Orange, vaincus en 1902 par les Anglais après une guerre de deux ans et demi.",Avenue Paul-Santy,,Colonisation,,69388.0,28739.0,,6903880945R
Impasse des Carmélites,Carmélites (impasse des),IMPASSE,1er,,Supprimée,Attestée en 1845 et supprimée en 1991.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Les religieuses Carmélites furent établies en 1616 par Jacqueline de Harlay, épouse du gouverneur Charles de Neuville d'Alincourt.",Rue Fernand-Rey,,Religion,,69381.0,27270.0,,6903811250C
Impasse des Célestins,Célestins (impasse des),IMPASSE,2e,,Supprimée,Attestée en 1788.,Voie disparue située vers la place des Célestins.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Indicateur de Lyon de 1788 p. 53.",Le monastère des Célestins fut fondé en 1407 et a subsisté jusqu'en 1778.,,,Religion,,,,,
Impasse des Chevaucheurs,Chevaucheurs (impasse des) ,IMPASSE,5e,,Supprimée,,Située vers la rue des Chevaucheurs.,,"Les courriers du roi (appelés alors ""chevaucheurs"") y étaient établis.",,,Courrier,,,,,
Impasse des Culattes,Culattes (impasse des),IMPASSE,7e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Louis Maynard dans son livre de 1921 à propos des rues de Lyon indique que Culattes désignait un lieu bas et sans issue.,Rue des Culattes,,Topographie,,,,,
Impasse des Cytises,Cytises (impasse des),IMPASSE,5e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue. Arbustes à fleurs jaunes.,Rue Joliot-Curie,,Botanique,,,,,
Impasse des Deux-Amants,Deux-Amants (impasse des),IMPASSE,9e,5e,Supprimée,Attestée de 1885 à 1955.,,"Fiches préparatoires de Vanario.
Listes des voies privées.","Le monument romain dit ""tombeau des deux Amants"", détruit en 1707, était appelé ainsi en raison des noms ""Amandus"" et ""Amanda"" qui y étaient gravés. Il se trouvait en bord de Saône, entre Vaise et le début du quai Pierre Scize.
Le bourg de ce nom fut annexé à Lyon en 1586. (BB/117 folio 237)",,,Histoire locale,,,,,
Impasse des Docks,Docks (impasse des),IMPASSE,9e,,Supprimée,Ouverte avant 1854.,Voie supprimée.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Ces docks étaient ceux du port de Vaise, ou gare d'eau.",Rue de Saint-Cyr,,Port/Transport fluvial,,,,,
Impasse des Docks,Docks (impasse des),IMPASSE,9e,,Supprimée,Attestée en 1866 et supprimée avant 1963.,Voie supprimée.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Ces docks étaient ceux du port de Vaise, ou gare d'eau.",Rue de Saint-Cyr,,Port/Transport fluvial,,,,,
Impasse des Jacobins,Jacobins (impasse des),IMPASSE,2e,,Supprimée,,"Devait aboutir place Confort, actuelle place des Jacobins.",,"Les Jacobins ou frères prêcheurs de l'Ordre de Saint-Dominique, s'établirent à Lyon vers la fin du XIIIe siècle.",,Place Confort / Place des Jacobins,Religion,,,,,
Impasse des Macchabées,Macchabées (impasse des),IMPASSE,5e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"En référence aux sept frères Macchabées,  martyrs.",Rue des Macchabées,,Religion,,,,,
Impasse des Poncettes,Poncettes (impasse des),IMPASSE,5e,,Supprimée,Attestée en 1955.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.",Nom d'un ancien domaine.,Chemin des Poncettes,,Urbanisme/Histoire locale,,,,,
Impasse des Réguliers,Réguliers (impasse des),IMPASSE,2e,,Supprimée,,Incorporée à la Ville par les travaux éxécutés par Perrache.,"Fiches préparatoires de Vanario.
40II fonds Louis Carriot",Inconnue.,,,,,,,,
Impasse des Ruettes,Ruettes (impasse des),IMPASSE,8e,3e,Supprimée,Attestée en 1898 et 1902.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de 1898 à 1902.",Inconnue.,Route d'Heyrieux,,,,,,,
Impasse Détard,Détard (impasse),IMPASSE,3e,,Supprimée,Supprimée au début du XXe siècle.,Impasse qui a existé à la hauteur du 97 rue Baraban.,Fiches préparatoires de Vanario.,Inconnue.,,,,,,,,
Impasse Docteur-Vaillant,Docteur-Vaillant (impasse),IMPASSE,3e,,Supprimée,Attestée en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","Édouard Vaillant, né à Vierzon (Cher) en 1840, mort à Paris en 1915. Docteur en médecine, ingénieur civil, membre de la commune de paris en 1871.",Rue du Dauphiné,,Médecine/Personnalité,,,,,
Impasse Drogue,Drogue (impasse),IMPASSE,7e,,Supprimée,Attestée en 1920 et supprimée avant 1952.,Supprimée pour l'installation de l'usine des Câbles de Lyon.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
4S/280
",Inconnue.,,,,,,,,
Impasse du Bœuf-Couronné,Bœuf-Couronné (impasse du),RUE,5e,,Supprimée,Attestée en 1843.,"Aquisition par la Ville d'une maison au sieur Bruny destinée à la rectification de l'impasse du Bœuf-Couronné, rue des Macchabées (1843).","Délibération du Conseil Municipal du 1er juin 1843.
Rues de Lyon à travers les siècles de Maurice Vanario (2002)",Provient sans doute d'une enseigne d'auberge.,,,Histoire locale/Commerce/Enseigne/zoologie,,,,,
Impasse du Boulevard,Boulevard (impasse du),IMPASSE,4e,La Croix-Rousse,Supprimée,,"A été dénommée impasse Saint-Clair de 1817 à 1850.
A été dénommée montée Saint-Clair en 1850.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),Tire son nom des remparts de la Croix-Rousse. Le mot Boulevard vient du néerlandais et signifie rempart.,Place Bellevue,,Fortifications,,,,,
Impasse du Doyenné,Doyenné (impasse du),IMPASSE,5e,,Supprimée,Ouverte avant 1854.,Voie supprimée lors de la création de la gare Saint-Jean.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1C/702106",Rappelle l'existence à cet emplacement de l'hôtel du Doyen du Chapitre de Saint-Jean.,,,Religion,,,,,
Impasse du Grand-Bichet,Grand-Bichet (impasse du),IMPASSE,4e,,Supprimée,Attesté de 1905 à 1936.,,"Fiches préparatoires de Vanario.
Indicateur Henry de 1905 et 1936.",Ce nom rappelle une mesure employée pour les terrains.,,,,,,,,
Impasse du Manège,Manège (impasse du),IMPASSE,3e,,Supprimée,Attestée de 1868 à 1869.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,Équitation,,,,,
Impasse du Nord,Nord (impasse du),IMPASSE,3e,La Guillotière,Supprimée,Attestée en 1850.,A été supprimée par l'emprise de la voie de chemin de fer.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Indication géographique.,,,Géographie,,,,,
Impasse du Poirier-sans-Pareil,Poirier-sans-Pareil (impasse du),IMPASSE,6e,,Supprimée,Attestée en 1885.,"A été supprimée lors de la démolition de la première gare des Brotteaux, qu'elle longeait.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1885.",Un hôtel à cette enseigne existait en 1846.,,,Histoire locale/Commerce,,,,,
Impasse du Sacré-Coeur,Sacré-Coeur (impasse du),IMPASSE,3e,,Supprimée,Attestée en 1885.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1885.",Les religieuses du Sacré-Cœur ouvrirent en 1819 un pensionnat à la Ferrandière.,Rue Paul-Bert,,Religion,,,,,
Impasse du Souvenir,Souvenir (impasse du),IMPASSE,9e,,Supprimée,Attestée en 2001.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),En référence à l'ancien cimetière de Vaise.,,,Cimetière,,,,,
Impasse du Tonneau,Tonneau (impasse du),IMPASSE,3e,,Supprimée,Attestée en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.",Inconnue.,13 rue Antoine-Lumière,,,,,,,
Impasse Duguesclin,Duguesclin (impasse),IMPASSE,7e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Bertrand du Guesclin, célèbre homme de guerre, né entre 1315 et 1320, mort en 1380.",Rue Duguesclin,,Guerre de Cent Ans/Moyen Âge/Personnalité,,,,,
Impasse Faudel,Faudel (impasse),IMPASSE,7e,,Supprimée,Attestée en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.",Inconnue.,,,,,,,,
Impasse Fayolle,Fayolle (impasse),IMPASSE,3e,,Supprimée,Attestée en 1903.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1903.",Inconnue.,,,,,,,,
Impasse François-Génin,François-Génin (impasse),IMPASSE,5e,,Supprimée,Attestée en 1955.,"A été dénommée chemin de dessert Franchet et Leriche, Colin, Marchand, Rambaud.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","Genin-Ramet, industriel, conseiller municipal en 1908, adjoint du 5e arrondissement de 1919 à 1925. Né à Lyon (5e) le 2 juillet 1872, mort à Lyon (5e) le 4 mars 1941.",Rue François-Genin,,Politique/Conseiller municipal/Industrie/Personnalité,,,,,
Impasse Gaget,Gaget (impasse),IMPASSE,7e,,Supprimée,,,Fiches préparatoires de Vanario.,Inconnue.,Avenue Jules-Carteret,,,,,,,
Impasse Galland,Galland (impasse),IMPASSE,7e,,Supprimée,Attestée en 1920.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
4S/280 de 1920.",Propriétaire des terrains.,Rue de la Grande-Famille,,Histoire locale/Urbanisme/Personnalité,,,,,
Impasse Garibaldi,Garibaldi (impasse),IMPASSE,6e,,Supprimée,Attestée en 1955.,A été dénommée impasse Sainte-Élisabeth de 1874 à 1955.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","Giuseppe Garibaldi, général et homme politique italien né à Nive en 1807, mort à Caprera en 1882. Il combattit pour la France en 1870-1871. Le 20 octobre 1870, le Conseil municipal de Lyon lui décerne le titre de citoyen lyonnais pour avoir combattu aux coté des Lyonnais contre les Prussiens à la bataille de Nuits.",,,Histoire militaire/Politique/Guerre franco-allemande de 1870-1871/Italie/Personnalité,,,,,
Impasse Gonin,Gonin (impasse),IMPASSE,7e,,Supprimée,Attestée en 1885 et supprimée avant 1995.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Grande rue de la Guillotière,,,,69387.0,30703.0,,
Impasse Horand,Horand (impasse),IMPASSE,7e,,Supprimée,Attestée en 1885 et supprimée avant 1987.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1885.",Inconnue.,Rue Victorien-Sardou,,,,69387.0,28507.0,,6903873575D
Impasse Impasse,Impasse (impasse),IMPASSE,7e,,Supprimée,Attestée en 1955.,Dénommée impasse Impasse sur la liste des voies privées.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.",Inconnue.,,,,,,,,
Impasse Joliot-Curie,Joliot-Curie (impasse),IMPASSE,5e,,Supprimée,Attestée en 1955.,A été dénommée impasse de l'Étoile-d'Alaï.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","Irène, née en 1897, morte en 1956 et son époux Frédéric, né en 1900, mort en 1858, prix Nobel de physique en 1935.",Rue Joliot-Curie,,Physique/Sciences et techniques/Femme/Personnalité,,,,,
Impasse Jules-Massenet,Jules-Massenet (impasse),IMPASSE,3e,,Supprimée,Attestée en 1922.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Compositeur, né à Montaud en 1842, mort à Paris en 1912.",Rue Constant,,Musique/Personnalité,,,,,
Impasse Lacharme,Lacharme (impasse),IMPASSE,7e,,Supprimée,,,"Fiches préparatoires de Vanario.
40II fonds Louis Carriot",Inconnue.,,,,,,,,
Impasse Louis-Loucheur,Louis-Loucheur (impasse),IMPASSE,9e,5e,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Homme politique français né en 1872 à Roubaix, mort en 1931 à Paris, auteur d'une loi favorisant la construction d'HLM.",Avenue Joannès-Masset,,Politique/Habitat social/Personnalité,,,,,
Impasse Mallen,Mallen (impasse),IMPASSE,7e,,Supprimée,Attestée de 1901 à 1926.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue. Peut-être le nom d'un propriétaire.,Rue de Gerland,,Histoire locale,,,,,
Impasse Matafelon,Matafelon (impasse),IMPASSE,5e,,Supprimée,,"Ruelle disparue, sise au bas de la montée Saint-Barthélemy.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Montée Saint-Barthélémy,,,,,,,
Impasse Matrat,Matrat (impasse),IMPASSE,7e,3e,Supprimée,Ouverte en 1881.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Ouverte en 1881 sur le terrain de M. Chevelu qui lui donna le nom de son épouse.,Avenue Berthelot,,Urbanisme/Histoire locale/Femme/Personnalité,,,,,
Impasse Mercier,Mercier (impasse),IMPASSE,3e,,Supprimée,Attestée en 1850 seulement.,A été supprimée lors de la création de la gare de marchandises de la Part-Dieu.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Impasse Messmer,Messmer (impasse),IMPASSE,7e,3e,Supprimée,Attestée en 1885 et supprimée avant 1987.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Gaspard Mesmer, propriétaire, fondateur de la Verrerie de la gare à la Guillotière en 1842.",Rue des Culattes,,Urbanisme/Industrie/Verre/Personnalité,,69387.0,28509.0,,6903874740V
Impasse Michalon,Michalon (impasse),IMPASSE,3e,,Supprimée,Attestée seulement en 1885.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Impasse Mouchet,Mouchet (impasse),IMPASSE,4e,La Croix-Rousse,Supprimée,Attestée en 1851.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue Bély,,,,,,,
Impasse Paul-Bert,Paul-Bert (impasse),IMPASSE,3e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Physiologiste et homme politique, né à Auxerre en 1833, mort à Hanoï en 1886.",279 rue Paul Bert,,Sciences et techniques/Physiologie/Politique/Personnalité,,,,,
Impasse Paul-Bert,Paul-Bert (impasse),IMPASSE,3e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Physiologiste et homme politique, né à Auxerre en 1833, mort à Hanoï en 1886.",275 rue Paul Bert,,Sciences et techniques/Physiologie/Politique/Personnalité,,,,,
Impasse Paul-Huvelin,Paul-Huvelin (impasse),IMPASSE,5e,,Supprimée,Attestée seulement en 1962.,,"Fiches préparatoires de Vanario.
Annuaire de 1962.","Paul- Louis Huvelin né le 11 avril 1873 et décédé le 2 juin 1924, était professeur de droit à l'université de Lyon.",,,Personnalité/Droit/Enseignement,,,,,
Impasse Pitrat,Pitrat (impasse),IMPASSE,1er,,Supprimée,Ouverte avant 1854.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1C/702106",Nom du propriétaire des terrains.,Rue du Bon-Pasteur,,Urbanisme/Histoire locale/Personnalité,,,,,
Impasse Rambaud,Rambaud (impasse),IMPASSE,3e,La Guillotière,Supprimée,Attestée en 1853.,Se trouvait près de la rue Villeroy.,Fiches préparatoires de Vanario.,"Pierre-Thomas Rambaud, procureur général, maire de Lyon de 1818 à 1826. Né le 14 mars 1754 à Lyon (Saint-Pierre Saint-Sathurnin), mort à Lyon le 20 février 1854.",,,Politique/Maire de Lyon/Personnalité,,,,,
Impasse Rast-Maupas,Rast-Maupas (impasse),IMPASSE,1er,,Supprimée,Attestée en 1923.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1923.","Négociant et agronome, fondateur de la Condition des soies, né en 1731 à la Voulte, mort à Lyon le 27 mars 1821.",Rue Rast-Maupas,,Agronomie/Textile/Soie/Personnalité,,,,,
Impasse Raymond,Raymond (impasse),IMPASSE,1er,,Supprimée,Attestée en 1955.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.",Inconnue.,26 rue de Crimée,,,,,,,
Impasse Reymond,Reymond (impasse),IMPASSE,8e,3e,Supprimée,Attestée de 1904 à 1962.,,"Fiches préparatoires de Vanario.
Indicateurs de 1904 à 1962.",Inconnue.,,,,,,,,
Impasse Rodet,Rodet (impasse),IMPASSE,7e,3e,Supprimée,Attestée en 1901.,A été supprimée lors de la construction des abattoirs.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1901.","Alphonse Rodet, peintre né à Lyon  (1er) le 16 octobre 1890, décédé à Pierre-Bénite le 4 février 1975.",Avenue Général-Frère,Avenue du Professeur-Paul-Santy,Beaux-arts/Peinture/Personnalité,,,,,
Impasse Roland,Roland (impasse),IMPASSE,2e,,Supprimée,Attestée en 1821.,Il y avait encore une rue de ce nom en 1845.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan géométral de la Ville, Coillet, 1821.",Inconnue.,,,,,,,,
Impasse Roquette,Roquette (impasse),IMPASSE,9e,5e,Supprimée,Attestée de 1868 à 1997.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1868.",Nom d'un domaine.,Rue Roquette,,Urbanisme/Histoire locale,,69389.0,29001.0,,6903896130X
Impasse Saint-Charles,Saint-Charles (impasse),IMPASSE,2e,,Supprimée,Attestée de 1795 à 1853.,Supprimée lors du percement de la rue de la République en 1854.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
État civil de 1795 et indicateur de 1853.","Le séminaire de Saint-Charles était établi derrière Saint-Nizier, rue de Villars.",,,Religion/Personnalité,,,,,
Impasse Saint-Claude,Saint-Claude (impasse),IMPASSE,1er,,Supprimée,Attestée en 1680.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
DD/56 bis p. 230.",Il y a eu ici une chapelle dédiée à Saint Claude.,,,Religion/Personnalité,,,,,
Impasse Saint-Mathieu,Saint-Mathieu (impasse),IMPASSE,8e,3e,Supprimée,Attestée en 1874.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Plan guide Blay.","Le nom de Saint-Mathieu a été choisi avec les autres saints du quartier par le comte des Tournelles, parmi ceux qu'il appréciait le plus.",,,Religion/Histoire locale/Urbanisme/Personnalité,,,,,
Impasse Saint-Maximin,Saint-Maximin (impasse),IMPASSE,3e,,Supprimée,Attestée en 1938.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
4S/236","Le quartier de Monplaisir a été dédié à tous les saints préférés du lotisseur, le comte de Tournelles.",4 rue Saint-Maximin,Rue du Docteur-Rebatel,Religion/Histoire locale/Urbanisme/Personnalité,,,,,
Impasse Saint-Nestor,Saint-Nestor (impasse),IMPASSE,8e,3e,Supprimée,Attestée en 1911.,"Sur certains documents, elle n'est qu'un fragment de la rue Saint-Nestor.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Le quartier de Monplaisir a été dédié à tous les saints préférés du lotisseur, le comte de Tournelles.
",Chemin Saint-Gervais,,Religion/Histoire locale/Urbanisme/Personnalité,,,,,
Impasse Saint-Vincent,Saint-Vincent (impasse),IMPASSE,1er,,Supprimée,Attestée de 1854 à 1868.,,"Fiches préparatoires de Vanario.
1C/702106 et annuaire de 1868.",Le quartier et l'ancienne église paroissiale honorait le saint patron des vignerons.,Place Saint-Vincent,,Religion/Personnalité,,,,,
Impasse Sidoine-Apollinaire,Sidoine-Apollinaire (impasse),IMPASSE,9e,5e,Supprimée,,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Poète latin, évêque de Clermont, né à Lyon vers 431.",Avenue Sidoine-Apollinaire,,Littérature/Religion/Personnalité,,,,,
Impasse Terra,Terra (impasse),IMPASSE,7e,,Supprimée,Attestée en 1926.,A été dénommée impasse Lesourd-Chapuis.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de 1926.",Inconnue.,Rue Lortet,,,,,,,
Impasse Terraille,Terraille (impasse),IMPASSE,1er,,Supprimée,Attestée en 1821.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan géométral de la Ville, Coillet, 1821.",Inconnue.,,,,,,,,
Impasse Triffaux,Triffaux (impasse),IMPASSE,7e,3e,Supprimée,Attestée en 1903.,"On la trouve aussi sous le nom de rue Trifousse.
A été cédée à la S.N.C.F.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1903.","On la trouve aussi sous le nom de ""Trifousse"".",Rue des Bons-Enfants,,,,,,,
