Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
Montée Neyret,Neyret (montée),MONTEE,1er,,Actuelle,,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom du propriétaire du terrain qui a fait ouvrir la rue en 1619.,Rue du Bon-Pasteur,Rue Neyret,Urbanisme/Histoire locale/Personnalité,Métropole,69381.0,27299.0,,6903815030L
Montée Nicolas-de-Lange,Nicolas-de-Lange (montée),MONTEE,5e,,Actuelle,Dénommée en 1933.,"A été dénommée montée de Gratte-Cul en 1411.
A été dénommée montée des Anges de 1821 à 1933.",Délibération du Conseil municipal du 23 janvier 1933. Rues de Lyon à travers les siècles de Maurice Vanario (2002),Président du parlement des Dombes et au siège présidial de Lyon. Mort en 1606.,Montée des Carmes-Déchaussées,Place de Fourvière,Politique/Ancien Régime/Personnalité,Métropole,69385.0,28185.0,,6903855048N
Montée Rater,Rater (montée),MONTEE,4e,,Actuelle,Dénommée en 1924.,Fragment de la montée Rey.,Délibération du Conseil municipal du 19 mai 1924. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Antoine Rater, architecte, fut avec Munet et Soufflot, le créateur du quartier Saint-Clair et plus particulièrement du cours d'Herbouville. Né à Lyon (Saint-Pierre Saint-Saturnin) le 26 avril 1729, mort à Miribel le 4 août 1794.",Montée Bonafous,Cours d'Herbouville,Architecture/Urbanisme/Personnalité,Métropole,69384.0,28015.0,,6903845935G
Montée Saint-Barthélemy,Saint-Barthélemy (montée),MONTEE,5e,,Actuelle,Attestée en 1550.,A été dénommée montée des Récollets en 1680.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1550, plan scénographique de la Ville de Lyon (1S/165)",Nom d'une chapelle ou recluserie établie ici au XIe siècle.,Rue Juiverie,Place de l'Antiquaille,Religion/Personnalité,Métropole,69385.0,28186.0,,6903856255A
Montée Saint-Laurent,Saint-Laurent (montée),MONTEE,5e,,Actuelle,Attestée en 1815.,"A été dénommée chemin de la Porte-de-Saint-Georges-à-Sainte-Foy.
A fait partie du chemin vicinal ordinaire n° 12 de la Quarantaine-à-Sainte-Foy.","Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 1S/124
3S/501",La très ancienne église Saint-Laurent du V ou VIe siècle a été remise au jour à partir de 1947.,Montée de Choulans,Rue des Fontanières,Religion,Métropole,69385.0,28188.0,,6903856440B
Montée Saint-Sébastien,Saint-Sébastien (montée),MONTEE,1er,,Actuelle,Attestée en 1350.,"A été dénommée montée des Colinettes en 1680.
A été dénommée montée des Fantasques en 1780.
A été dénommée côte Saint-Sébastien.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan topographique en 1350 par B. Vermorel (1S/181).",Le nom provient d'une ancienne recluserie établie au sommet de la côte au XIe siècle.,Boulevard de la Croix-Rousse,Place Croix-Paquet,Religion/Personnalité,Métropole,69381.0,27300.0,,6903816560Z
Parc Élise-Rivet,Élise-Rivet (parc),PARC,5e,,Actuelle,Dénommé en 2021.,,Délibération du Conseil municipal du 28 janvier 2021.,"Résistante et religieuse sous le nom de Marie Elisabeth de l’Eucharistie. Née en 1890 à Draria, morte en 1945 à Ravensbrück.",Avenue du Général-Eisenhower,Rue des Noyers,Religion/Résistance/Femme/Personnalité,,,,,
Parc Georges-Bazin,Georges-Bazin (parc),PARC,3e,,Actuelle,Dénommé en 1986.,A été dénommé square rue de l'Est jusqu'en 1986.,"Délibération du conseil municipal du 28 avril 1986.
Fiches préparatoires de Vanario.","Entrepreneur en charpente, secrétaire général de la Société d'histoire de la Rive Gauche de Lyon. Animateur du quartier de Monchat.
Né à Lyon 3 ème le 16 novembre 1906 et décédé le 14 décembre 1980.",Rue de l'Est,,Histoire locale/Personnalité,,,,,
Parc Jacob-Kaplan,Jacob-Kaplan (parc),PARC,3e,,Actuelle,Dénommé en 2007.,,Délibération du Conseil municipal du 23 octobre 2007.,"Né le 5 novembre 1895 à Paris, il y est mort le 5 décembre 1994. Combattant lors des deux guerres mondiales, résistant et grand-rabbin de France de 1955 jusqu’à sa retraite en 1980.",Allée du Parc,Rue du Professeur-René-Guillet,1914-1918/1939-1945/Résistance/Religion/Personnalité,,,,,
Parc Jeanne-Jugan,Jeanne-Jugan (parc),PARC,3e,,Actuelle,Créé en 1992.,,,Fondatrice de la congrégation des Petites Sœurs des Pauvres dont le jardin est à l’origine de ce parc. Née le 25 octobre 1792 à Cancale. Elle est morte le 29 août 1879 à Saint-Pern.,Avenue Georges-Pompidou,,Religion/Femme/Personnalité,Métropole,69383.0,31938.0,,6903833856B
Parc Léon-Pfeffer,Léon-Pfeffer (parc),PARC,8e,,Actuelle,,,?,"Né le 12 octobre 1922 à Nancy, venu à Lyon pour participer à la Résistance dans le cadre du bataillon Carmagnole Francs-tireurs et partisans-Main-d'œuvre immigrée. Il a été tué place Bellecour le 27 août 1944.",Rue Gouraud,Rue Montagny,1939-1945/Résistance/Personnalité,Métropole,69388.0,31949.0,,6903884186N
Parc Michèle-Mollard,Michèle-Mollard (parc),PARC,9e,,Actuelle,Dénommé en 2008.,,Délibération du Conseil municipal du 23 juin 2008.,"Maire du 9e arrondissement de Lyon de 1989 à 1995. Née en 1937 à Issy-les-Moulineaux, elle est morte en 1998.",Rue Cottin,,Politique/Femme/Personnalité,,,,,
Parc Sutter,Sutter (parc),PARC,1er,,Actuelle,,,,Nom de la dernière propriétaire du parc.,Rue de Vauzelles,,Histoire locale/Urbanisme/Femme/Personnalité,Métropole,69381.0,30276.0,,6903816872N
Parvis René-Descartes,René-Descartes (parvis),PARVIS,7e,,Actuelle,Dénommée vers 2000.,,,"Mathématicien, physicien et philosophe, né le 31 mars 1596 à La Haye-en-Touraine, mort le 11 février 1650 à Stockholm. ",Avenue Jean-jaurès,Avenue Debourg,Sciences et techniques/Physique/Mathématiques/Philosophie/Personnalité,Métropole,69387.0,34430.0,,6903875986Z
Parvis Renée-Richard,Renée-Richard (parvis),PARVIS,3e,,Actuelle,Créée en 2022.,Espace public situé à l’entrée est des Halles Paul Bocuse.,Délibération du Conseil municipal du 19 mai 2022.,"Renée Richard, surnommée la mère Richard, est une commerçante crémière née le 14 juillet 1928 à Lyon et morte dans cette même ville le 31 mars 2014.
Installée aux halles de Lyon, elle est connue pour son saint-marcellin, fromage à base de lait de vache, à pâte molle à croûte fleurie dont elle fournissait notamment le chef cuisinier Paul Bocuse à qui elle doit son surnom.",Rue Garibaldi,,Personnalité/Femme/Gastronomie,En attente,69383.0,37288.0,,
Parvis Renée-Richard,Renée-Richard (parvis),PARVIS,3e,,Actuelle,Dénommé en 2016.,,Délibération du Conseil municipal du 6 juin 2016.,"Surnommée la mère Richard, l'une des commerçantes les plus réputées des Halles des Cordeliers, puis des Halles Paul Bocuse à la Part Dieu, célèbre pour son Saint-Marcellin.",Rue Garibaldi,,Gastronomie/Femme/Personnalité,Métropole,69383.0,36614.0,,6903835990W
Passage Cazenove,Cazenove (passage),PASSAGE,6e,3e,Actuelle,Attesté en 1846.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom du propriétaire des terrains. Famille de notables lyonnais. En 1881, Raoul de Cazenove, président de la Société littéraire de Lyon a fait éditer les registres consulaires au 15e siècle de la ville transcrits par Georges Guigue.",Rue Boileau,Rue Garibaldi,Histoire locale/Urbanisme/Personnalité,Métropole,69386.0,28386.0,,6903861330T
Passage Claude-Louis-Perret,Claude-Louis-Perret (passage),PASSAGE,4e,,Actuelle,Dénommé en 1946.,A été dénommé passage d'Igre jusqu'en 1946.,Délibération du Conseil municipal du 30 septembre 1946 confirmée le 24 mars 1947. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Administrateur du patronage laïque du 4e arrondissement. Né à Lyon (4e) le 18 juin 1886, mort en déportation à Dachau le 1er février 1945.",Rue de Belfort,Place Joannès-Ambre,1939-1945/Résistance/Laïcité/Personnalité,Privé,69384.0,28030.0,,6903841705J
Passage Comtois,Comtois (passage),PASSAGE,8e,3e,Actuelle,Attesté en 1898.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,Privé,69388.0,28776.0,,6903881865R
Passage Coste,Coste (passage),PASSAGE,6e,La Guillotière,Actuelle,Attesté en 1827.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Coste et Angénieux étaient propriétaires des terrains en 1827.,Rue Vauban,Cours Lafayette,Histoire locale/Urbanisme/Personnalité,Privé,69386.0,28387.0,,6903861935A
Passage Cuzin,Cuzin (passage),PASSAGE,4e,,Actuelle,Attesté en 1879.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom du propriétaire des terrains.,Rue Tabareau,,Histoire locale/Urbanisme/Personnalité,Privé,69384.0,28031.0,,6903842055P
Passage de la Vitriolerie,Vitriolerie (passage de la),PASSAGE,7e,,Actuelle,Attesté en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","Une fabrique d'acide sulfurique, établie en ce lieu en 1803, donna son nom au quartier.",,,Industrie/Chimie,En attente,69387.0,28520.0,,6903877490J
Passage de l'Abbaye-de-la-Déserte,Abbaye-de-la-Déserte (passage de),PASSAGE,1er,,Actuelle,Attribué en 1995.,,Délibération du Conseil municipal de 1995.,"L’abbaye royale des Bénédictines de la Déserte est un couvent fondé, en 1296, par Blanche de Chalon, dame de Belleville.",Rue du Sergent-Blandan,Place Gabriel-Rambaud,Religion,Privé,69381.0,34737.0,,
Passage de l'Argue,Argue (passage de l'),PASSAGE,2e,,Actuelle,Attesté en 1810.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),L'Argue est un outil à filer l'or et l'argent pour le destiner aux tissus précieux. L'atelier de l'Argue a subsisté longtemps à cet endroit.,Rue de Brest,Rue de la République,Textile/Métaux précieux,Privé,69382.0,27522.0,,6903820450D
Passage des Alouettes,Alouettes (passage des),PASSAGE,8e,,Actuelle,Attesté en 1885.,A été dénommé impasse des Alouettes.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Du nom d'un ancien domaine.,Boulevard Jean-XXIII,Rue louis-Cézard,Zoologie,Métropole,69388.0,30062.0,,6903880170Y
Passage des Gloriettes,Gloriettes (passage),PASSAGE,4e,,Actuelle,Attesté en 1886.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1886.",Les gloriettes étaient de petites maisons ou de simples cabanes entourées d'un jardin.,Montée Bonafous,Rue Joséphin-Soulary,,Privé,69384.0,28032.0,,6903843260Z
Passage des Hauts-de-Saint-Just,Hauts-de-Saint-Just (passage des),PASSAGE,5e,,Actuelle,Attesté en 2001.,Nouvelle voie.,,Situé sur les hauteurs du quartier de Saint-Just.,,,Topographie,En attente,69385.0,32035.0,,
Passage des Marronniers,Marronniers (passage des),PASSAGE,2e,,Actuelle,,Voie privée très ancienne.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Les marronniers étaient ceux qui marquaient la bordure est de la place Bellecour.,Rue des Marronniers,Quai Gailleton,Botanique,Privé,69382.0,30253.0,,
Passage des Terreaux,Terreaux (passage des),PASSAGE,1er,,Actuelle,Ouvert en 1855.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1C/702106","Ce nom rappelle les remparts et fossés (en latin : terralia) qui occupèrent, pendant le Moyen Âge, le côté sud de la place actuelle.",Place des Terreaux,Rue Lanterne,Fortifications,Privé,69381.0,27302.0,,6903816948W
Passage Docteur-Vaillant,Docteur-Vaillant (passage),PASSAGE,3e,,Actuelle,Attesté en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","Édouard Vaillant, né à Vierzon (Cher) en 1840, mort à Paris en 1915. Docteur en médecine, ingénieur civil, membre de la commune de paris en 1871.",Rue Édouard-Vaillant,Rue Girié,Médecine/Personnalité,Privé,69383.0,30245.0,,6903832250F
Passage Donat,Donat (passage),PASSAGE,1er,,Actuelle,Attesté en 1873.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Propriétaire des terrains.,Rue Burdeau,Rue René-Legrand,Histoire locale/Urbanisme/Personnalité,Privé,69381.0,27333.0,,6903812280X
Passage du Béal,Béal (passage du),PASSAGE,9e,,Actuelle,Attesté en 1885.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Un béal est un canal, effectivement, il y a plusieurs petits cours d’eaux à proximité, ruisseau des planches canalisé au croisement des rues Marietton et Sidoine Apollinaire, étang et cressonnière au sud de la rue ainsi que l’impasse Bellefontaine à l’ouest.",Rue du Bourbonnais,Rue du Béal,Topographie,Privé,69389.0,28995.0,,6903890745U
Passage du Coteau,Coteau (passage du),PASSAGE,9e,,Actuelle,Dénommée en 2021.,Voie créée le 14 octobre 2021.,,Inconnue.,,,,Privé,69389.0,37281.0,,
Passage du Vercors,Vercors (passage du),PASSAGE,7e,,Actuelle,Dénommé en 1987.,Nouvelle voie.,Délibération du Conseil municipal du 7 décembre 1987. Rues de Lyon à travers les siècles de Maurice Vanario (2002),Haut-lieu de la Résistance française.,Rue du Vercors,,1939-1945/Résistance,Métropole,69387.0,31946.0,,6903877318X
Passage Dumont,Dumont (passage),PASSAGE,4e,,Actuelle,,"A été dénommé impasse Chénier en 1849.
A été dénommé impasse Dumont en 1850.
A été dénommé impasse Dugonnier en 1850.
A de nouveau été dénommé impasse Dumont en 1852.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Grande rue de la Croix-Rousse,Rue Dumont,,Privé,69384.0,28033.0,,6903842390D
Passage Édouard-Aynard,Édouard-Aynard (passage),PASSAGE,3e,,Actuelle,Attesté en 1947.,"A été dénommé passage Bouvier de 1885 à 1947.
A cheval sur la limite Lyon/Villeurbanne.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1S/16","Mathieu-Édouard Aynard, né à Lyon le 1er janvier 1837, mort subitement au Palais Bourbon le 25 juin 1913. Président de la chambre de commerce de Lyon, banquier, économiste, député du Rhône, écrivain.",Rue Pascal,Chemin de l'Espérance,Politique/Personnalité,Métropole,69383.0,27746.0,,6903832455D
Passage Faugier,Faugier (passage),PASSAGE,7e,,Actuelle,Attesté en 1895.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1885.","Faugier avait deux usines, autour de l'impasse de l'Asphalte, celle du nord bordait aussi le passage Faugier.",Rue de Gerland,Rue Pierre-Sémard,Industrie/Histoire locale/Urbanisme/Personnalité,Métropole,69387.0,28537.0,,6903872660J
Passage Félix-Benoit,Félix-Benoit (passage),PASSAGE,3e,,Actuelle,Dénommé en 2005.,A été une voie sans dénomination.,Délibération du Conseil municipal du 20 juin 2005.,"Félix Benoit est né en 1917, il est mort en 1995. Il fut une personnalité locale humoristique en fondant l'ordre du clou et en devenant gouverneur de l'île Barbe. Il s'est illustré par ses écrits sur l'histoire de la ville. Il est aussi honoré comme critique gastronomique, ce qui lui vaut le choix de ce passage qu'il a dû probablement emprunter pour se rendre aux halles.",Cours Lafayette,Rue de Bonnel,Gastronomie/Humour/Personnalité,Commune,69383.0,34904.0,,
Passage Feuillat,Feuillat (passage),PASSAGE,3e,,Actuelle,Attesté en 1936.,A été dénommé impasse Montbrillant.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur de 1936.","Juste Feuillat, ingénieur, président du Conseil général en 1874. Né le 25 janvier 1822 à Sainte-Foy-lès-Lyon, mort à Lyon (3e) le 5 avril 1877.",Rue Feuillat,Rue Domrémy,Politique/Personnalité,Privé,69383.0,27747.0,,6903832760K
Passage France-Pejot,France-Pejot (passage),PASSAGE,2e,,Actuelle,Dénommé en 2018.,Ancienne voûte ouest sous la gare de Perrache.,Délibération du Conseil municipal du 24 septembre 2018.,"Résistante, membre du réseau Franc-tireur, arrêtée de nombreuses fois avant d'être déportée à Ravensbruück en 1944 d'où elle s'échappa en 1945. Femme de Maurice Jarre, elle est la mère du musicien Jean-Michel Jarre. Née le 17 octobre 1914 à Lyon 2e et morte le 21 avril 2010 à Perpignan.",Place Carnot,Place des Archives,1939-1945/Résistance/Femme/Personnalité,Métropole,69382.0,37087.0,,
Passage Gay,Gay (passage),PASSAGE,5e,,Actuelle,Attesté en 1887.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
4S/134 de 1887.","Nom du propriétaire. Restaurateur, né à Cours le 10 avril 1824, mort à Lyon (5e) le 3 avril 1878.",Chemin de Montauban,Tour métallique,Histoire locale/Urbanisme/Gastronomie/Personnalité,En attente,69385.0,28223.0,,6903853065H
Passage Gonin,Gonin (passage),PASSAGE,1er,,Actuelle,Ouvert avant 1854.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1C/702106","Propriétaire des terrains. Né à Lyon (nord) le 11 novembre 1804, décédé à Lyon (1er) le 12 avril 1880.",Quai Saint-Vincent,,Histoire locale/Urbanisme/Personnalité,Métropole,69381.0,27334.0,,6903813275D
Passage Gorge-de-Loup,Gorge-de-Loup (passage),PASSAGE,9e,5e,Actuelle,Attesté en 1955.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.",Un domaine de ce nom existait au XVIIe siècle.,Rue Gorge-de-Loup,Rue Louis-Loucheur,Histoire locale/Urbanisme,Privé,69389.0,30228.0,,
Passage Guillermier,Guillermier (passage),PASSAGE,4e,,Actuelle,Attesté en 1923.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1923.",Propriétaire des terrains.,Rue Henry-Gorjus,Rue Denfert-Rochereau,Histoire locale/Urbanisme/Personnalité,Privé,69384.0,28016.0,,6903843390R
Passage Lamure,Lamure (passage),PASSAGE,4e,La Croix-Rousse,Actuelle,Attesté en 1847.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Propriétaire des terrains.,Rue du Mail,Rue de Belfort,Urbanisme/Histoire locale/Personnalité,Privé,69384.0,28034.0,,6903844125P
Passage Louis-Ravat,Louis-Ravat (passage),PASSAGE,2e,,Actuelle,Dénommé en 2014.,Nouvelle voie.,Délibération du Conseil municipal du 7 juillet 2014.,"Prévôt des marchands de 1708 à 1715. Conseiller à la Cour des monnaies. Né à Lyon (Saint-Nizier) le 29 mars 1655, mort à Lyon (Saint-Nizier) le 27 septembre 1733.",Rue Seguin,Quai Perrache,Politique/Prévôt des marchands/Personnalité,Métropole,69382.0,36308.0,,6903824250J
Passage Magellan,Magellan (passage),PASSAGE,2e,,Actuelle,Créé en 2015.,Nouvelle voie.,Délibération du Conseil municipal du 28 septembre 2015.,"En référence au passage, dit détroit, de Magellan, découvert en 1520 par le navigateur au sud de l'Amérique et qui relie les océans Atlantique et Pacifique.",Rue Hrant-Dink,Cours Charlemegne,Navigation/Portugal/Personnalité,Métropole,69382.0,36955.0,,6903824400X
Passage Mas,Mas (passage),PASSAGE,9e,,Actuelle,Dénommé en 1866.,A été dénommé passage Chirat de 1845 à 1866.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom du propriétaire des terrains.,Rue Marietton,Rue du Bourbonnais,Urbanisme/Histoire locale/Personnalité,Privé,69389.0,29081.0,,6903894640C
Passage Ménestrier,Ménestrier (passage),PASSAGE,2e,,Actuelle,Attesté en 1813.,A été dénommé rue Ménestrier.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Claude-François Ménestrier, jésuite, enseignant et historien, né à Lyon le 10 mars 1631, mort à Paris le 21 janvier 1705.",Rue de la Bourse,Quai Jean-Moulin,Religion/Enseignement/Histoire/Érudition/Personnalité,Métropole,69382.0,30255.0,,6903824710J
Passage Mermet,Mermet (passage),PASSAGE,1er,,Actuelle,Créé en 1829.,,Délibération du Conseil municipal du 18 juin 1829. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Joseph Mermet, médecin, membre du Conseil Municipal. Né à Hauteville le 26 octobre 1769. Mort à Lyon le 21 janvier 1848. Propriétaire de la maison où fut ouvert le passage.",Rue René-Leynaud,Rue burdeau,Médecine/Politique/Urbanisme/Personnalité,Métropole,69381.0,27335.0,,6903814735R
Passage Meynis,Meynis (passage),PASSAGE,3e,,Actuelle,Attesté en 2001.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom du propriétaire des terrains.,Rue Antoine-Charial,,Urbanisme/Histoire locale/Personnalité,Privé,69383.0,30700.0,,
Passage Montluc,Montluc (passage),PASSAGE,3e,,Actuelle,Dénommé en 2013.,,Délibération du Conseil municipal le 13 mai 2013.,Longe la prison de Montluc.,Rue Hachette,Rue du Dauphiné,Histoire locale/Urbanisme,Privé,69383.0,36094.0,,6903834890A
Passage Panama,Panama (passage),PASSAGE,2e,,Actuelle,Créé en 2015.,Nouvelle voie.,Délibération du Conseil municipal du 28 septembre 2015.,Rend hommage au canal de Panama.,Rue Hrant-Dink,Cours Charlemagne,Cours d'eau/Transport fluvial,Métropole,69382.0,36543.0,,6903825210C
Passage Ranvier,Ranvier (passage),PASSAGE,8e,,Actuelle,,A été dénommé impasse Ranvier.,,"Louis-Antoine Ranvier, histologiste, professeur d'anatomie générale au Collège de France. Né à Lyon le 2 octobre 1835, mort à Thélys le 22 mars 1922.",Rue Genton,Rue du professeur-Ranvier,Médecine/Histologie/Anatomie/Enseignement supérieur/Personnalité,Privé,69388.0,32614.0,,6903885930J
Passage Raymond,Raymond (passage),PASSAGE,8e,,Actuelle,Attesté en 1976.,Existe sans dénomination depuis 1936.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue Denis,Avenue Francis-de-Pressensé,,Privé,69388.0,28757.0,,6903885954K
Passage Richan,Richan (passage),PASSAGE,4e,,Actuelle,Dénommé en 1914.,A été dénommé passage du Gaz de 1854 à 1914.,"Délibération du Conseil municipal du 5 octobre 1914. Rues de Lyon à travers les siècles de Maurice Vanario (2002)
","Hilaire-Philippe Richan, négociant, maire de la Croix-Rousse du 1er août 1830 au 29 janvier 1832. Né à Lyon (Saint-Pierre Saint-Saturnin) le 15 juin 1790, mort à Lyon le 5 avril 1839.",Grande rue de la Croix-Rousse,Rue de Belfort,Politique/Maire de la Croix-Rousse/Commerce/Personnalité,Privé,69384.0,28035.0,,6903846030K
Passage Roger-Bréchan,Roger-Bréchan (passage),PASSAGE,3e,,Actuelle,Dénommé en 1958.,,Délibération du Conseil municipal du 13 octobre 1958. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Cheminot, résistant, un des fondateurs des Groupes francs de la région Rhône-Alpes. Né le 29 janvier 1912 à Lauzeste, mort en déportation à Buchenwald le 10 février 1945.",Rue Roger-Bréchan,Rue Saint-Philippe,1939-1945/Résistance/Déportation/Personnalité,Métropole,69383.0,27748.0,,6903836088C
Passage Sainte-Philomène,Sainte-Philomène (passage),PASSAGE,5e,,Actuelle,Attesté en 1962.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1962.",Inconnue.,Montée Saint-Barthélémy,,Religion/Personnalité/Femme,En attente,69385.0,28189.0,,6903856314P
Passage Thiaffait,Thiaffait (passage),PASSAGE,1er,,Actuelle,Attesté en 1838.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de Lyon de 1838.","Propriétaire de l'immeuble dans lequel a été pratiqué le passage. Membre du Bureau de bienfaisance, président de la Société d'instruction élémentaire. Mort le 14 avril 1861.",Rue Burdeau,Rue Leynaud,Urbanisme/Bienfaisance/Enseignement/Personnalité,Privé,69381.0,27337.0,,6903816975A
Passage Tolozan,Tolozan (passage),PASSAGE,1er,,Actuelle,Attesté en 1838.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1838.","Louis Tolozan de Montfort, dernier prévôt des marchands, fit construire pour son usage l'immeuble du n° 19. Né à Lyon (Saint-Pierre Saint Sathurnin) le 29 juin 1726, mort à Lyon le 1er décembre 1811.",Rue du Plâtre,Rue Longue,Politique/Prévôt des marchands/Personnalité,Privé,69381.0,27338.0,,6903817025E
Passerelle Abbé-Paul-Couturier,Abbé-Paul-Couturier (passerelle),PASSERELLE,5e,,Actuelle,Dénommée en 2003.,A été dénommée passerelle Saint-Georges de 1852 à 2003.,Délibération du Conseil municipal du 25 Février 2003.,"Paul Couturier, prêtre français, né à Lyon (3e) le 29 juillet 1881 et mort à Lyon (2e) le 24 mars 1953 est un des pionniers de l’œcuménisme.",Quai Fulchiron,Rue Sala,Religion/Personnalité,Métropole,69385.0,34706.0,,
Passerelle Abbé-Paul-Couturier,Abbé-Paul-Couturier (passerelle),PASSERELLE,2e,,Actuelle,Dénommée en 2003.,A été dénommée passerelle Saint-Georges de 1852 à 2003.,Délibération du Conseil municipal du 25 Février 2003.,"Paul Couturier, prêtre français, né à Lyon (3e) le 29 juillet 1881 et mort à Lyon (2e) le 24 mars 1953 est un des pionniers de l’œcuménisme.",Rue Sala,Quai Fulchiron,Religion/Personnalité,Métropole,69382.0,34705.0,,
Passerelle de la Paix,Paix (passerelle de la),PASSERELLE,6e,,Actuelle,Dénommée en 2012 et créée en 2013.,,Délibération du Conseil municipal du 22 octobre 2012.,Le nom de passerelle de la Paix a été attribué au conseil municipal du 22 octobre 2012. Il se veut en résonance avec le Pont Schuman construit sur la Saône.,Quai Charles-de-Gaulle,,Pacifisme,Métropole,69386.0,36285.0,,6903865270A
Passerelle de l'Homme-de-la-Roche,Homme-de-la-Roche (passerelle de l'),PASSERELLE,1er,,Actuelle,Créée en 1986.,A remplacé le pont de l'Homme-de-la-Roche en 1986.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"""L'homme de la roche"" était une statue d'homme armé, placée sur le rocher de la grotte qui se trouve sur la rive droite. Elle fut remplacée en 1849 par une statue de Jean Kleberger, qui devint à son tour ""l'homme de la roche"".",Quai Saint-Vincent,Quai Pierre-Scize,Histoire militaire/Allemagne/Philanthropie,Métropole,69381.0,30704.0,,
Passerelle de l'Homme-de-la-Roche,Homme-de-la-Roche (passerelle de l'),PASSERELLE,5e,,Actuelle,Créée en 1986.,A remplacé le pont de l'Homme-de-la-Roche en 1986.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"""L'homme de la roche"" était une statue d'homme armé, placée sur le rocher de la grotte qui se trouve sur la rive droite. Elle fut remplacée en 1849 par une statue de Jean Kleberger, qui devint à son tour ""l'homme de la roche"".",Quai Pierre-Scize,Quai Saint-Vincent,Histoire militaire/Allemagne/Philanthropie,Métropole,69385.0,30702.0,,6903853568E
Passerelle du Collège,Collège (passerelle du),PASSERELLE,6e,,Actuelle,Construite entre 1840 et 1844.,"""Le tablier de la passerelle tomba le 7 décembre 1844 au moment de l'épreuve de résistance, 25 ouvriers tombent à l'eau, 8 noyés. 1861 droit de péage racheté par la Ville""
Le Journal du 6 septembre 1977.
A été détruite par les Allemands le 2 septembre 1944.
Reconstruite en 1945.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1660WP",En référence au collège des Jésuites devenu collège et lycée Ampère.,Quai du Général-Sarrail,Quai Jean-Moulin,Enseignement,Métropole,69386.0,28374.0,,6903861773Z
Passerelle du Collège,Collège (passerelle du),PASSERELLE,2e,,Actuelle,Construite entre 1840 et 1844.,"""Le tablier de la passerelle tomba le 7 décembre 1844 au moment de l'épreuve de résistance, 25 ouvriers tombent à l'eau, 8 noyés. 1861 droit de péage racheté par la Ville""
Le Journal du 6 septembre 1977.
A été détruite par les Allemands le 2 septembre 1944.
Reconstruite en 1945.","Rues de Lyon à travers les siècles de Maurice Vanario (2002)
1660WP",En référence au collège des Jésuites devenu collège et lycée Ampère.,Quai Jean-Moulin,Quai du Général-Sarrail,Enseignement,Métropole,69382.0,27496.0,,6903821773S
